options,'options'," ""option's""", 'potions', 'option', 'opt ions', 'opt-ions', 'portions'," ""potion's""", 'adoptions'," ""portion's"""," ""adoption's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines,'lines', 'liens'," ""line's""", 'liners', 'linens', 'kines', 'limes', 'lined', 'Ines', 'lies', 'line'," ""Lin's""", 'Linus', 'lanes', 'lings'," ""liner's""", 'lingers', 'lioness', 'loners', 'lens', 'lions', 'loins', 'liner', 'links', 'lints', 'Hines', 'dines', 'fines'," ""lien's""", 'likes', 'linen', 'lives', 'mines', 'nines', 'pines', 'sines', 'tines', 'vines', 'wines', 'zines', 'lingoes'," ""Lane's"""," ""Lina's"""," ""Lon's"""," ""lane's"""," ""ling's"""," ""lion's"""," ""loin's"""," ""loner's"""," ""LAN's"""," ""Len's"""," ""lime's"""," ""Lie's"""," ""Luna's"""," ""Lynne's"""," ""lie's"""," ""Aline's"""," ""Cline's"""," ""Kline's"""," ""linen's"""," ""Lind's"""," ""link's"""," ""lint's"""," ""Linus's"""," ""fine's"""," ""life's"""," ""like's"""," ""lingo's"""," ""mine's"""," ""nine's"""," ""pine's"""," ""sine's"""," ""tine's"""," ""vine's"""," ""wine's"""," ""Lana's"""," ""Lena's"""," ""Leno's"""," ""Lynn's"""," ""lens's""",,,,,,,,,,,,,,,,,,,,
grouped,'grouped', 'groped', 'griped', 'grouper', 'groused', 'grouted', 'trouped', 'gripped', 'cropped', 'grepped', 'group ed', 'group-ed', 'groupers', 'groupies', 'groupie', 'gropes', 'groups', 'grope', 'group', 'roped', 'grouched'," ""group's""", 'groper', 'ground', 'regrouped'," ""grouper's"""," ""groupie's""", 'grasped'," ""grope's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mvcc,'MC', 'Mecca', 'mecca', 'FCC', 'Mac', 'mac', 'mic', 'MVP', 'PVC', 'mfg', 'MOOC', 'Mack', 'Marc', 'Mick', 'mica', 'mick', 'mock', 'muck', 'masc', 'misc', 'CFC', 'McCoy', 'move', 'Mg', 'Mk', 'YMCA', 'mg', 'Macao', 'Marco', 'Merck', 'Micah', 'Micky', 'macaw', 'mover', 'movie', 'mucky', 'MFA', 'Maj', 'Meg', 'MiG', 'mag', 'meg', 'mph', 'mug',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessor,'accessory', 'access'," ""access's""", 'access or', 'access-or', 'successor', 'accessed', 'accesses', 'assessor',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
points,'points'," ""point's""", 'pints', 'point', 'paints'," ""pint's""", 'pintos', 'punts', 'pointy', 'prints', 'joints', 'pointers'," ""paint's""", 'pounds', 'pants', 'ponds'," ""punt's"""," ""pointer's"""," ""Pound's"""," ""pound's"""," ""pinto's"""," ""pant's"""," ""pond's"""," ""print's"""," ""joint's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constants,'constants'," ""constant's""", 'constant', 'constraints', 'instants', 'consultants', 'contestants', 'consonants', 'constantly', 'consents', 'contents'," ""constraint's"""," ""constancy's""", 'Constance', 'constancy'," ""instant's"""," ""consultant's"""," ""contestant's"""," ""consonant's""", 'castanets'," ""consent's"""," ""content's"""," ""Constance's"""," ""castanet's"""," ""Constantine's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nononce,'no nonce', 'no-nonce', 'non once', 'non-once', 'nonce', 'announce', 'nonsense', 'denounce', 'finance', 'renounce'," ""noon's""", 'nuance', 'announcer', 'ninnies', 'penance'," ""nonce's""", 'onions', 'nannies', 'nonuser'," ""Onion's"""," ""onion's""", 'Nancy'," ""Nona's"""," ""Nannie's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs,radio shack," ""R's""", 'RSI', 'res', 'Sr', 'RDS', 'RSV', 'RVs', 'Ra', 'rps', 'Es', 'RD', 'Rd', 'es', 'rd', 'ts', 'R', 'S', 'r', 's', 'yrs'," ""Re's""", 'Rosa', 'Rose'," ""re's""", 'rise', 'rose', 'rosy', 'ruse', 'Mrs', 'hrs', 'IRS', 'RI', 'RR', 'Re', 'Rh', 'Ru', 'Ry', 'SS', 're', 'As', 'BS', 'Cs', 'HS', 'KS', 'Ks', 'MS', 'Ms', 'NS', 'OS', 'Os', 'PS', 'RC', 'RF', 'RN', 'RP', 'RV', 'Rb', 'Rf', 'Rn', 'Rx', 'US', 'XS', 'Zs', 'as', 'cs', 'gs', 'is', 'ks', 'ls', 'ms', 'rm', 'rt', 'us', 'vs'," ""Ra's"""," ""Rh's""", 'Rios', 'Ross'," ""Ru's""", 'Russ', 'rays', 'rhos', 'roes', 'rows', 'rues'," ""E's"""," ""Rae's"""," ""T's"""," ""roe's"""," ""rue's"""," ""Br's"""," ""Cr's"""," ""Fr's"""," ""Jr's"""," ""Kr's"""," ""Mr's"""," ""Pr's"""," ""RN's"""," ""RV's"""
services,'services'," ""service's""", 'serviced', 'service', 'cervices', 'serves'," ""serve's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operands,'operands', 'operand', 'operates', 'errands', 'upends', 'operators'," ""errand's""", 'uplands'," ""upland's"""," ""operator's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
returned,'returned', 'returnee', 'returner', 'retained', 're turned', 're-turned', 'return ed', 'return-ed', 'returnees', 'returners', 'retired', 'returns', 'return', 'turned'," ""return's""", 'rotund', 'retried'," ""returnee's"""," ""returner's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extensions,'extensions'," ""extension's""", 'extension', 'ex tensions', 'ex-tensions', 'extensional'," ""extenuation's""", 'extrusions', 'expansions'," ""extrusion's""", 'extinctions'," ""expansion's"""," ""extinction's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code,'code', 'coed', 'coder', 'coded', 'codes', 'COD', 'Cod', 'cod', 'codex', 'ode', 'Cody', 'Cote', 'coda', 'cote', 'cooed', 'cord', 'cods', 'Coke', 'Cole', 'bode', 'cede', 'coke', 'come', 'cone', 'cope', 'core', 'cove', 'lode', 'mode', 'node', 'rode', 'CD', 'Cd', 'cued', 'Gide', 'Jodie', 'CAD', 'God', 'cad', 'cot', 'cud', 'god', 'Goode', 'geode', 'Jodi', 'Jody', 'Jude', 'coat', 'coot', 'cute', 'jade'," ""code's"""," ""cod's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genvendor,'gen vendor', 'gen-vendor', 'inventor', 'convened', 'convent', 'convener', 'reinvent', 'invent', 'contender', 'convector', 'convene', 'conveners', 'contend', 'convents'," ""convent's"""," ""convener's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extension,'extension', 'extensions', 'extenuation', 'ex tension', 'ex-tension'," ""extension's""", 'extensional', 'extrusion', 'expansion',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grpp2,'grippe', 'grope', 'grep', 'grip', 'grape', 'gripe', 'group', 'gripper', 'groper', 'Krupp', 'crop'," ""grip's""", 'crappy', 'griper', 'crap', 'gorp', 'greps', 'grips', 'guppy', 'GOP', 'GPO', 'GP', 'Gr', 'RP', 'gr', 'grasp', 'grump', 'GPA', 'GPU', 'Gap', 'RIP', 'Rep', 'gap', 'gyp', 'rap', 'rep', 'rip',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcl,'Cl', 'MC', 'cl', 'ml', 'Mel', 'mil', 'MCI', 'Mack', 'Mick', 'mick', 'mock', 'muck', 'McCall', 'COL', 'Cal', 'Col', 'Mac', 'Mk', 'cal', 'col', 'mac', 'mic', 'milk', 'Male', 'Mali', 'Mill', 'Milo', 'Mlle', 'Moll', 'mail', 'male', 'mall', 'marl', 'maul', 'meal', 'mewl', 'mica', 'mile', 'mill', 'moil', 'mole', 'moll', 'mule', 'mull', 'Mogul', 'mogul', 'Mg', 'kl', 'mg', 'YMCA',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pres,president,pressure, 'pares', 'pores', 'press', 'preys', 'pries', 'pyres', 'pees', 'preps', 'ores', 'res', 'Ypres'," ""Pr's""", 'pros', 'prise', 'prose', 'parers'," ""pore's""", 'priers', 'prows', 'purees', 'purrs'," ""pyre's""", 'pies', 'prey', 'Ares', 'ares', 'pref', 'prep', 'prev'," ""prey's""", 'Paris', 'Perez', 'Prius', 'Purus', 'paras', 'prays'," ""pro's""", 'prosy'," ""pry's"""," ""Parr's"""," ""parer's"""," ""prier's"""," ""prow's"""," ""puree's"""," ""purr's""", 'pr es', 'pr-es'," ""Peru's"""," ""pee's"""," ""ore's"""," ""Re's"""," ""para's"""," ""re's"""," ""prep's"""," ""Ypres's"""," ""press's"""," ""PRC's"""," ""Poe's"""," ""pie's"""," ""are's"""," ""ire's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setp2,'step', 'setup'," ""step's""", 'steep', 'Sept', 'stop'," ""Set's"""," ""set's""", 'septa', 'Sep', 'Set', 'set', 'steps', 'steppe', 'seep', 'sett', 'sets', 'Ste', 'Supt', 'supt',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stored,'stored', 'storied', 'stores', 'stormed', 'store', 'stared', 'strode', 'stirred', 'storey', 'scored', 'snored', 'spored', 'stoked', 'stoned', 'stowed', 'starred', 'steered', 'sutured', 'shored'," ""store's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metap1,'meetup', 'meta', 'metal'," ""meat's""", 'meat', 'map', 'meaty', 'met', 'tap', 'meats'," ""mete's""", 'metro', 'Mead', 'mead', 'mete', 'meter', 'Medan', 'getup', 'letup', 'medal', 'meted', 'metes', 'metre', 'setup',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grp1,'grep', 'grip',group, 'gripe', 'grope'," ""grip's""", 'group', 'gorp', 'griper', 'groper', 'GP', 'Gr', 'RP', 'crap', 'crop', 'gr', 'greps', 'grips', 'grow', 'graph', 'grippe', 'GOP', 'GPA', 'GPO', 'GPU', 'Gap', 'Krupp', 'crape', 'crepe', 'gap', 'gyp', 'GDP', 'Gray', 'Grey', 'gape', 'gray', 'grew', 'grey', 'grue', 'giro', 'gyro', 'Gore', 'RIP', 'Rep', 'creep', 'gore', 'gory', 'grasp', 'grump', 'rap', 'rep', 'rip', 'CPR', 'croup', 'Gary', 'Gere', 'gawp', 'goop', 'guru', 'wrap', 'Cr', 'JP', 'Jr', 'KP', 'Kr', 'jr', 'qr', 'Corp', 'GNP', 'carp', 'corp',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emilp2,Emil's, 'Emil'," ""Emile's"""," ""Emily's""", 'Emile', 'Emily', 'Emilia', 'Emilio'," ""email's""", 'email', 'emails',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javax,'Java', 'java', 'Javas'," ""Java's"""," ""java's""", 'Koufax', 'jags', 'fax', 'Jarvis', 'jacks', 'Galaxy', 'galaxy', 'faux', 'JCS', 'jinx', 'guavas', 'jackass', 'caves'," ""jag's""", 'jives', 'Kafka'," ""Kafka's""", 'calyx'," ""JFK's""", 'CVS'," ""Jack's"""," ""jack's""", 'jaguars', 'Javanese', 'Fox', 'JFK'," ""Jarvis's""", 'fix', 'fox'," ""guava's"""," ""Jake's"""," ""Jove's"""," ""cave's"""," ""jive's"""," ""Jaguar's"""," ""caviar's"""," ""jaguar's"""," ""Javier's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partmime,'part mime', 'part-mime', 'pantomime', 'premium', 'ptomaine', 'Pittman', 'cardamom', 'Putnam', 'cadmium', 'edamame', 'optimum', 'podium', 'Ptolemy',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
settings,'settings'," ""setting's""", 'setting', 'sittings', 'lettings', 'stings'," ""seating's"""," ""sitting's""", 'set tings', 'set-tings'," ""sting's"""," ""netting's"""," ""petting's"""," ""suiting's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utilsv11,'utilise', 'utilised', 'utilises', 'utilising', 'utilize', 'outlive', 'utilized', 'utilizes'," ""Atlas's"""," ""atlas's"""," ""Attila's"""," ""Italy's"""," ""atoll's""", 'atolls', 'idols', 'Atlas', 'atlas'," ""Udall's"""," ""idol's""", 'outlast',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,parameter, 'paras'," ""pram's"""," ""para's""", 'proms', 'Purims'," ""Priam's""", 'pa rams', 'pa-rams', 'para ms', 'para-ms', 'RAMs', 'pram', 'primes'," ""prom's""", 'promos', 'rams', 'paramours', 'pariahs', 'Paris'," ""Purim's""", 'pares', 'perms', 'prays'," ""Parr's"""," ""Pam's"""," ""RAM's"""," ""ram's"""," ""pariah's"""," ""Perm's"""," ""perm's"""," ""prime's"""," ""promo's"""," ""paramour's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whitelist,'whitelist', 'whitelists', 'white list', 'white-list', 'whitelisted', 'whitest', 'whilst', 'whitelisting'," ""Whitley's"""," ""Whiteley's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
throwable,'throw able', 'throw-able', 'throwback', 'trouble', 'knowable', 'throttle', 'probable', 'provable', 'ropeable', 'trowel', 'thrower', 'Grable', 'treble', 'throwaway', 'allowable', 'shareable', 'thinkable', 'throb', 'heritable', 'traceable', 'trainable', 'trappable', 'friable', 'thimble', 'throbbed', 'tremble', 'rouble', 'thrall', 'arable', 'horrible', 'variable', 'throatily', 'throttler', 'throwing', 'viewable', 'writable', 'treatable', 'thruway', 'curable', 'durable', 'parable', 'thrombi', 'renewable', 'throwers', 'terrible', 'thruways'," ""thrower's"""," ""thruway's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sites,'sites', 'sties'," ""site's""", 'suites', 'smites', 'spites', 'sires', 'sited', 'sits', 'site', 'cites', 'sates', 'sides', 'stirs', 'sautes', 'sitars', 'sitters'," ""suite's""", 'sets', 'sots', 'stews', 'suits', 'bites', 'gites', 'kites', 'mites', 'rites', 'sines', 'sises', 'sizes'," ""cite's""", 'cities'," ""side's"""," ""sot's"""," ""suit's""", 'SIDS', 'zits'," ""stir's""", 'sixes'," ""saute's"""," ""sitar's"""," ""sitter's"""," ""Sat's"""," ""Set's"""," ""Sid's""", 'sades'," ""set's""", 'setts'," ""zit's""", 'sit es', 'sit-es'," ""stew's"""," ""suet's"""," ""spite's"""," ""Stu's"""," ""sire's"""," ""Soto's"""," ""sty's"""," ""bite's"""," ""kite's"""," ""mite's"""," ""rite's"""," ""sine's"""," ""size's"""," ""SIDS's"""," ""Sade's"""," ""city's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input,'input', 'inputs', 'inapt', 'inept', 'in put', 'in-put', 'Inuit'," ""input's""", 'int',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method,'method', 'methods', 'met hod', 'met-hod', 'meathead', 'meths', 'meth'," ""method's""", 'mouthed', 'meted', 'meteor', 'meshed', 'methyl', 'med', 'met', 'mod', 'Mead', 'Thad', 'math', 'mead', 'meed', 'meta', 'mete', 'mood', 'moth', 'myth', 'thud', 'methought',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,'service', 'serviced', 'services', 'servile', 'serves', 'serve'," ""service's""", 'cervices'," ""serve's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hide,'hide', 'hied', 'hider', 'hided', 'hides', 'Gide', 'hid', 'IDE', 'hie', 'Hyde', 'hoed', 'hued', 'horde', 'chide', 'HUD', 'hod', 'Ride', 'Tide', 'aide', 'bide', 'hike', 'hire', 'hive', 'ride', 'side', 'tide', 'wide', 'heed', 'Haida', 'Heidi', 'HDD', 'had', 'hit', 'hate'," ""he'd"""," ""hide's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,'not', 'nit', 'note', 'nowt', 'Ont', 'nor', 'NT', 'bot', 'mot', 'No', 'OT', 'no', 'knot', 'NWT', 'Nat', 'net', 'nod', 'nut', 'NATO', 'Nita', 'snot', 'NOW', 'Noe', 'now', 'DOT', 'Dot', 'Lot', 'Nos', 'Nov', 'cot', 'dot', 'got', 'hot', 'jot', 'lot', 'nob', 'non', 'nos', 'pot', 'rot', 'sot', 'tot', 'wot', 'knit', 'Nate', 'neat', 'neut', 'newt', 'node', 'ND', 'Nd', 'gnat', 'Ned'," ""No's"""," ""no's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
always,'always', 'allays'," ""Elway's""", 'alleyways', 'Alas', 'alas', 'hallways', 'railways', 'airways'," ""Amway's""", 'anyways', 'flyways', 'Elway', 'alias'," ""alleyway's""", 'alleys', 'alloys'," ""Alba's"""," ""Alma's"""," ""Alta's"""," ""Alva's"""," ""alga's"""," ""hallway's"""," ""railway's"""," ""airway's"""," ""flyway's"""," ""Alar's"""," ""ally's"""," ""Alan's"""," ""Allah's"""," ""alias's"""," ""alley's"""," ""alloy's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
position,'position', 'positions', 'positron', 'posit ion', 'posit-ion', 'positing'," ""position's""", 'positional', 'positioned', 'potion', 'portion', 'Opposition', 'apposition', 'deposition', 'opposition', 'reposition', 'petition', 'poison', 'piston', 'positioning', 'posting', 'Poisson', 'supposition',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
op,operator,opinion, 'ope', 'opp', 'PO', 'Po', 'PP', 'ops', 'opt', 'pp', 'O', 'P', 'o', 'p', 'AP', 'up', 'IPA', 'IPO', 'GOP', 'SOP', 'bop', 'cop', 'fop', 'hop', 'lop', 'mop', 'pop', 'sop', 'top', 'wop', 'OE', 'OH', 'OR', 'WP', 'oh', 'oi', 'or', 'ow', 'APO', 'BP', 'DP', 'GP', 'HP', 'JP', 'KP', 'LP', 'MP', 'NP', 'Np', 'OB', 'OD', 'OJ', 'OK', 'ON', 'OS', 'OT', 'Ob', 'Os', 'Oz', 'RP', 'Sp', 'VP', 'hp', 'mp', 'ob', 'of', 'om', 'on', 'ox', 'oz', 'app', 'API', 'EPA', 'UPI', 'ape'," ""op's"""," ""O's""",,,,,,,,,,,,,,,,,,,,,,,
aque,'Que', 'ague', 'aqua', 'argue', 'Aug', 'age', 'auk', 'auger', 'arguer', 'Au', 'barque', 'marque', 'acute', 'aquas', 'AC', 'AK', 'Ac', 'Ag', 'IQ', 'UK', 'ac', 'ax', 'aux', 'axe', 'cue', 'qua', 'quo', 'opaque'," ""ague's"""," ""aqua's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finer,'finer', 'fainer', 'finger', 'finder', 'finery', 'diner', 'fiber', 'fine', 'funner', 'fined', 'fines', 'fifer', 'filer', 'firer', 'fiver', 'liner', 'miner', 'fin', 'fawner', 'Finn', 'fixer', 'finny', 'fin er', 'fin-er'," ""fine's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bufferto,'buffet', 'buffer to', 'buffer-to', 'buffer', 'buffed', 'buffets', 'buffers', 'buffered'," ""buffer's""", 'buffeted', 'biffed'," ""buffet's""", 'Buford',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criteria,'criteria', 'criterion', 'critters', 'critter'," ""critter's""", 'Eritrea', 'coterie', 'craters', 'Crater', 'crater', 'critic', 'cratering'," ""Crater's""", 'cafeteria'," ""crater's""", 'Curitiba', 'cratered', 'Pretoria', 'cretin', 'gritter', 'Crete', 'crate', 'cried',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected,'protected', 'projected', 'protested', 'protect ed', 'protect-ed', 'protracted', 'protects', 'protect', 'prosecuted', 'protector', 'pretested', 'predicted',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,'Left', 'left', 'lefty', 'lefts', 'EFT', 'let', 'lift', 'loft', 'cleft', 'Lent', 'deft', 'heft', 'lent', 'lest', 'weft', 'lefter', 'lofty'," ""left's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
join,'join', 'Joni', 'joins', 'joint', 'Jon', 'Jain', 'Joan', 'John', 'coin', 'john', 'Jun', 'jinn', 'jun', 'kin', 'loin', 'joiner', 'Joann', 'coon', 'going', 'goon', 'koan', 'Jan', 'con', 'gin', 'quoin', 'Cain', 'Conn', 'Jean', 'Juan', 'corn', 'gain', 'gown', 'jean', 'quin'," ""join's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
projections,'projections'," ""projection's""", 'projection', 'protections', 'project ions', 'project-ions', 'projectionist', 'prosecutions'," ""protection's""", 'rejections', 'productions'," ""prosecution's"""," ""rejection's"""," ""production's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asc,ascii, 'sac', 'ADC', 'AC', 'Ac', 'As', 'SC', 'Sc', 'ac', 'as', 'ask', 'assoc', 'masc', 'ARC', 'arc', 'ass', 'ABC', 'AFC', 'APC', 'ASL', 'NSC', 'asp', 'ash', 'Esq', 'arcs', 'sack', 'Isaac', 'ASPCA', 'Issac'," ""A's""", 'AIs', 'AWS', 'SEC', 'Sec', 'Soc', 'ace', 'sec', 'sic', 'soc', 'ASCII', 'ascot', 'aspic', 'sag', 'zac'," ""As's""", 'OAS'," ""AC's"""," ""Ac's"""," ""Ag's"""," ""AI's"""," ""Ar's"""," ""Au's"""," ""AA's"""," ""arc's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noop,'snoop',no operation, 'nope', 'Woop', 'coop', 'goop', 'hoop', 'loop', 'nook', 'noon', 'poop', 'woop', 'NP', 'Np', 'nap', 'neap', 'no op', 'no-op', 'GNP', 'No', 'Snoopy', 'nape', 'no', 'snoopy', 'op', 'NOW', 'Neo', 'Noe', 'nor', 'now', 'poo',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testutil,'testily', 'testator', 'testate', 'testicle', 'teetotal', 'testates', 'tastily', 'testators', 'astutely', 'testable', 'distil', 'tested'," ""testator's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
throws,'throws', 'throes'," ""throw's""", 'throw', 'trows'," ""throe's""", 'throbs', 'thrown', 'threes', 'thrones', 'throwers', 'thews'," ""three's""", 'throe'," ""Thor's""", 'rows', 'thorns', 'throats'," ""throb's""", 'thaws'," ""there's""", 'thous', 'threw'," ""throne's"""," ""thew's"""," ""row's"""," ""thrower's"""," ""theory's"""," ""Theron's"""," ""thaw's"""," ""thou's"""," ""thorn's"""," ""throat's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sizes,'sizes', 'seizes'," ""size's""", 'sixes', 'sized', 'size', 'sises', 'sizer', 'sides', 'sines', 'sires', 'sites', 'SOSes'," ""Suez's"""," ""SUSE's"""," ""Suzy's"""," ""side's"""," ""sine's"""," ""sire's"""," ""site's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regions,'regions'," ""region's""", 'region', 'regains', 'legions', 'rejoins', 'recons', 'reckons', 'reg ions', 'reg-ions', 'reigns', 'Regina'," ""Regina's""", 'regos', 'reins', 'religions', 'regimens'," ""legion's"""," ""rego's"""," ""reign's"""," ""Reagan's"""," ""rein's"""," ""religion's"""," ""regimen's"""," ""Oregon's"""," ""Reginae's"""," ""Regor's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
